日付,レース番号,開催,レース名,馬名,馬番,勝率,予想順位
2026/4/4,2.02606E+11,中山1R,3歳未勝利,アンパシオンス,1,1.27736736,14
2026/4/4,2.02606E+11,中山1R,3歳未勝利,ハナムラサキ,2,0.903679393,16
2026/4/4,2.02606E+11,中山1R,3歳未勝利,フェルアフリーゼ,3,8.753634619,5
2026/4/4,2.02606E+11,中山1R,3歳未勝利,ピコラアルテ,4,1.304883476,13
2026/4/4,2.02606E+11,中山1R,3歳未勝利,アドミ,5,10.03610093,3
2026/4/4,2.02606E+11,中山1R,3歳未勝利,キタノシオン,6,1.526883415,10
2026/4/4,2.02606E+11,中山1R,3歳未勝利,マメーアップル,7,4.250442968,7
2026/4/4,2.02606E+11,中山1R,3歳未勝利,カンレイスター,8,31.81546463,1
2026/4/4,2.02606E+11,中山1R,3歳未勝利,ウィザードオブマリ,9,0.92629147,15
2026/4/4,2.02606E+11,中山1R,3歳未勝利,ベイビーシスター,10,1.598713938,9
2026/4/4,2.02606E+11,中山1R,3歳未勝利,マーマレードスカイ,11,13.97495697,2
2026/4/4,2.02606E+11,中山1R,3歳未勝利,エコロセレナ,12,7.385548988,6
2026/4/4,2.02606E+11,中山1R,3歳未勝利,マリノフォルトゥナ,13,1.373803206,12
2026/4/4,2.02606E+11,中山1R,3歳未勝利,ニシノゲッパク,14,3.809437855,8
2026/4/4,2.02606E+11,中山1R,3歳未勝利,オレンジリバー,15,9.676291175,4
2026/4/4,2.02606E+11,中山1R,3歳未勝利,ジュンオルレアン,16,1.386499603,11
2026/4/4,2.02606E+11,中山2R,3歳未勝利,キョウエイシュバル,1,2.967454605,7
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ノーブルスアーク,2,1.438638926,12
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ノーブルジャッカル,3,7.847134324,4
2026/4/4,2.02606E+11,中山2R,3歳未勝利,シシリアンキッス,4,1.130256456,14
2026/4/4,2.02606E+11,中山2R,3歳未勝利,アオハルブルース,5,37.63462074,1
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ケイジ,6,1.80392427,10
2026/4/4,2.02606E+11,中山2R,3歳未勝利,プリンセスダーコ,7,2.191617781,9
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ファントムヴォルト,8,1.772347032,11
2026/4/4,2.02606E+11,中山2R,3歳未勝利,トーセンアミューズ,9,2.263281131,8
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ロードリュイール,10,4.421960119,6
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ゴールドドレッサ,11,1.252533816,13
2026/4/4,2.02606E+11,中山2R,3歳未勝利,アドマイヤウルトラ,12,17.29310438,2
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ドウドウファイト,13,4.772488813,5
2026/4/4,2.02606E+11,中山2R,3歳未勝利,ガーディアンテイル,14,13.2106376,3
2026/4/4,2.02606E+11,中山3R,3歳未勝利,エコロバロン,1,11.44460818,3
2026/4/4,2.02606E+11,中山3R,3歳未勝利,ライカ,2,8.194787386,5
2026/4/4,2.02606E+11,中山3R,3歳未勝利,クリオロゴールド,3,29.3996237,1
2026/4/4,2.02606E+11,中山3R,3歳未勝利,ヨルヴィック,4,9.975424918,4
2026/4/4,2.02606E+11,中山3R,3歳未勝利,ココラッシー,5,18.58959171,2
2026/4/4,2.02606E+11,中山3R,3歳未勝利,ツクバアヴァロン,6,1.331538328,11
2026/4/4,2.02606E+11,中山3R,3歳未勝利,ソーマッチ,7,1.010517397,16
2026/4/4,2.02606E+11,中山3R,3歳未勝利,テンカラットレター,8,1.229893992,12
